"datetime","ipsrc","ipdst","dstport","proto","action","policyid"
"2023-03-07 02:16:40","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:40","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:41","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:41","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:43","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:43","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:43","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:43","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:44","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:44","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:46","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:46","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:46","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:46","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:47","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:47","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:50","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:50","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:50","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:50","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:50","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:50","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:53","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:53","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:53","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:53","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:53","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:53","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:55","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:56","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:56","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:56","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:56","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:16:56","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:00","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:00","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:00","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:00","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:00","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:00","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:00","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:17:03","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:03","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:03","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:03","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:03","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:03","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:06","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:06","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:06","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:06","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:06","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:07","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:07","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:09","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:10","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:17:10","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:10","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:10","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:10","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:10","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:10","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:17:13","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:14","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:17:14","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:14","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:14","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:14","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:14","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:16","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:16","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:16","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
